class_code,class_desc,Alea_cat,Option2,Res_nonRes,class_1dig,major_class_code,major_class_type,assessment_level,incent_nonincent,groups_5,hybrid_groups
827,Theatre,Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
828,Bank building,Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
829,Motel,Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
830,Supermarket,Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
831,"Shopping center (Regional, community, neighborhood, promotional, specialty)",Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
832,Bowling alley,Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
833,Quonset hut or butler type building,Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
835,Golf course improvement,Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
850,Industrial incentive land,Industrial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
880,Industrial minor improvement,Industrial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
881,Garage used in conjunction with industrial incentive improvement,Industrial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
883,Quonset hut or butler type building,Industrial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
887,Special industrial improvement,Industrial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
889,Industrial condominium unit,Industrial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
890,Minor industrial improvement,Industrial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
891,Office building,Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
892,Two-or-three-story building containing part or all retail and/or commercial space,Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
893,Industrial building,Industrial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
897,Special commercial structure,Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
899,Commercial/Industrial condominium unit/garage,Commercial,,NonRes,8,8,Commercial/Industrial Incentive,,Incentive Classes,Incentive Class,Class 8
900,Land used in conjunction with incentive rental apartments,Rental,,Res,9,9,Multi-Family Incentive,10%,Incentive Classes,Other,Other
901,Garage used in conjunction with incentive rental apartment,Rental,,Res,9,9,Multi-Family Incentive,10%,Incentive Classes,Other,Other
913,"Two-or-three-story apartment building, seven or more units",Rental,,Res,9,9,Multi-Family Incentive,10%,Incentive Classes,Other,Other
914,"Two-or-three-story, non-fireproof court and corridor apartments or California type apartments, no corridors, exterior entrance",Rental,,Res,9,9,Multi-Family Incentive,10%,Incentive Classes,Other,Other
915,"Two-or-three-story, non-fireproof corridor apartments, or California type apartments, interior entrance",Rental,,Res,9,9,Multi-Family Incentive,10%,Incentive Classes,Other,Other
918,Mixed use commercial/residential building with apartments and commercial area where the commercial area is granted an incentive use,Rental,,Res,9,9,Multi-Family Incentive,10%,Incentive Classes,Other,Other
959,Rental condominium unit,Rental,,Res,9,9,Multi-Family Incentive,10%,Incentive Classes,Other,Other
990,Other minor improvements,Rental,,Res,9,9,Multi-Family Incentive,10%,Incentive Classes,Other,Other
991,Apartment buildings over three stories,Rental,,Res,9,9,Multi-Family Incentive,10%,Incentive Classes,Other,Other
996,"Rented modern row houses, seven or more units in a single development or one or more contiguous parcels in common ownership",Rental,,Res,9,9,Multi-Family Incentive,10%,Incentive Classes,Other,Other
997,Special rental structure,Rental,,Res,9,9,Multi-Family Incentive,10%,Incentive Classes,Other,Other
